user_id,churned,days_since_last_trip,days_since_last_session,trips_last_7d,trips_last_30d,trips_last_60d,trips_last_90d,monetary_total,monetary_avg,trips_lifetime,monetary_last_30d,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_combined_score,avg_trip_duration,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,rainy_ride_ratio,preferred_payment_encoded,avg_driver_rating_received,session_last_30d,session_last_60d,avg_time_on_app,avg_pages_visited,session_conversation_rate,engagement_score,account_age_days,activity_trend_30d,unique_active_days,was_referred,avg_rating_given,loyalty_encoded,city_encoded
R00000,0,25,0.0,0,1,1,3,414.13,16.57,25,16.31,2,1,4,2.33,30.32,14.64,1.1,0.4,0.2,0.16,0.16,0,4.252,4.0,4.0,92.0,3.0,0.25,5.62,93,1.0,25,1,5.0,0,0
R00001,1,5,0.0,1,2,3,3,195.69,13.98,14,26.830000000000002,4,3,1,2.67,28.64,12.9,1.07,0.21,0.21,0.29,0.0,0,4.136,3.0,3.0,174.67,2.67,0.0,6.15,230,0.5,13,0,4.7,0,0
R00002,1,14,0.0,0,1,4,5,482.94,20.12,24,14.9,3,1,5,3.0,31.54,15.79,1.19,0.21,0.38,0.12,0.25,0,4.15,3.0,3.0,191.0,3.0,0.0,6.35,232,-0.5,22,0,4.2,0,1
R00004,0,12,0.0,0,2,2,5,391.15,24.45,16,45.718,3,3,3,3.0,36.12,16.78,1.26,0.44,0.25,0.44,0.25,0,4.156,2.0,2.0,17.0,2.5,0.0,3.77,250,2.0,16,1,3.9,1,1
R00005,0,2,0.0,1,2,2,4,300.63,15.82,19,24.66,5,3,2,3.33,30.42,14.44,1.07,0.21,0.37,0.11,0.05,0,4.068,6.0,6.0,30.33,1.67,0.17,3.94,657,2.0,19,0,5.0,0,1
R00006,0,67,0.0,0,0,0,2,246.4,17.6,14,0.0,1,1,1,1.0,31.5,14.22,1.13,0.71,0.71,0.36,0.29,0,4.243,5.0,5.0,52.0,3.0,0.6,5.06,619,0.0,14,1,4.4,2,1
R00007,0,19,0.0,0,1,3,5,506.68,26.67,19,24.888,2,1,5,2.67,37.32,19.27,1.18,0.37,0.47,0.32,0.32,0,4.279,5.0,5.0,246.8,2.8,0.0,6.54,715,-0.33,18,0,4.9,0,0
R00009,0,80,0.0,0,0,0,1,430.73,30.77,14,0.0,1,1,4,2.0,33.93,18.11,1.38,0.43,0.5,0.07,0.29,0,4.064,3.0,3.0,22.0,3.33,0.0,4.31,666,0.0,13,0,4.6,0,1
R00010,0,0,0.0,1,6,10,13,519.21,16.75,31,79.61500000000001,5,5,5,5.0,34.16,14.44,1.09,0.32,0.35,0.45,0.19,0,4.132,4.0,4.0,87.75,4.0,0.25,5.86,362,0.4,30,0,4.3,0,0
R00012,0,21,0.0,0,2,4,5,385.83,16.78,23,23.52,2,3,3,2.67,34.13,14.3,1.12,0.52,0.3,0.35,0.3,0,4.343,4.0,4.0,18.0,2.0,0.75,3.61,547,0.0,23,0,4.6,2,2
R00013,0,47,0.0,0,0,1,3,247.54,17.68,14,0.0,1,1,1,1.0,34.21,16.21,1.04,0.29,0.07,0.36,0.07,0,4.329,6.0,6.0,160.0,3.0,0.0,6.18,665,-0.5,13,0,4.2,0,2
R00014,0,4,0.0,1,4,6,9,513.31,17.7,29,74.67399999999999,5,5,5,5.0,30.69,14.75,1.14,0.28,0.31,0.34,0.21,0,4.303,3.0,3.0,29.0,3.67,0.0,4.68,602,0.67,27,0,5.0,0,0
R00015,0,6,0.0,1,2,4,6,528.44,20.32,26,19.36,4,3,5,4.0,30.08,15.6,1.16,0.58,0.27,0.27,0.23,0,4.085,9.0,9.0,120.44,1.67,0.22,5.31,102,0.0,25,1,5.0,2,0
R00016,0,21,0.0,0,1,4,7,353.07,17.65,20,12.36,2,1,3,2.0,33.65,15.45,1.03,0.8,0.3,0.35,0.1,0,4.1,1.0,1.0,88.0,5.0,1.0,6.09,358,-0.5,20,1,3.9,2,0
R00017,0,3,0.0,1,3,6,8,356.19,18.75,19,54.6,5,4,3,4.0,35.42,15.13,1.14,0.53,0.32,0.21,0.11,0,4.147,6.0,6.0,26.67,2.83,0.33,4.34,726,0.0,19,0,4.2,2,1
R00020,0,3,0.0,1,2,4,7,381.77,20.09,19,32.8,5,3,3,3.67,27.16,16.74,1.12,0.37,0.37,0.16,0.16,0,4.089,7.0,7.0,165.29,2.71,0.0,6.11,648,0.0,19,1,4.9,0,2
R00021,0,10,0.0,0,1,1,2,216.67,14.44,15,8.6,3,1,1,1.67,38.47,13.35,1.03,0.33,0.27,0.2,0.07,0,4.113,2.0,2.0,136.5,3.5,0.0,6.17,256,1.0,15,0,4.9,0,2
R00022,0,14,0.0,0,4,5,7,296.03,16.45,18,68.14,3,5,2,3.33,36.06,14.39,1.11,0.44,0.28,0.22,0.28,0,4.278,4.0,4.0,82.0,2.75,0.0,5.42,87,1.5,17,0,4.7,0,1
R00023,0,12,0.0,0,2,4,4,358.22,16.28,22,20.972,3,3,3,3.0,32.36,14.13,1.09,0.36,0.41,0.23,0.18,0,4.236,3.0,3.0,81.0,3.0,0.0,5.5,224,0.0,22,1,4.6,0,1
R00025,0,2,0.0,1,1,2,2,241.17,18.55,13,18.35,5,1,1,2.33,32.46,15.85,1.12,0.23,0.23,0.15,0.31,0,3.985,7.0,7.0,147.14,3.0,0.0,6.09,551,0.0,13,1,3.8,0,2
R00026,0,28,0.0,0,2,6,9,328.97,18.28,18,18.39,2,3,2,2.33,29.28,15.67,1.1,0.22,0.5,0.28,0.28,0,4.1,5.0,5.0,12.2,1.2,0.2,2.75,262,-0.4,18,0,4.7,0,1
R00027,0,6,0.0,1,2,6,7,600.84,25.04,24,20.16,4,3,5,4.0,28.33,17.21,1.21,0.42,0.38,0.21,0.12,0,4.292,4.0,4.0,19.0,2.5,0.0,3.88,654,-0.4,23,1,4.7,1,2
R00029,0,6,0.0,1,2,3,5,310.42,22.17,14,44.75,4,3,2,3.0,25.29,16.74,1.24,0.43,0.5,0.29,0.21,0,3.986,7.0,7.0,384.71,2.71,0.14,6.95,489,0.5,14,1,4.8,0,1
